date,location,IP address,action,interaction,duration,downtime
2021-06-29,"67092 Williams Knolls Suite 976
Jasonview, SC 80530",35.174.116.4,search results,dorment,1.54,0
2021-05-01,"19831 Hammond Inlet
Daniellehaven, AZ 11529",196.216.22.169,payment,abandon,76.45,29.14
2021-06-22,"4719 Robinson Cliff
North Danielberg, TN 70326",214.54.78.137,business profile view,click,24.99,10.64
2021-06-09,"11228 Donald Inlet Suite 768
Lake James, WI 24812",216.64.160.224,hack attempt,brute force password attempt,90.49,11.86
2021-06-05,"67817 Combs Lodge Apt. 633
East Loriberg, MT 58373",207.45.227.130,recommendation,click,40.63,23.62
2021-06-27,"USNS Dyer
FPO AP 88680",11.27.255.148,SSH,SSH request accepted,3.14,1.53
2021-04-13,"842 Chan Burgs Apt. 250
Veronicaborough, MI 76536",177.40.174.93,user signup,bounce,14.54,26.07
2021-04-24,"78824 Yvonne Harbors
Stephaniemouth, WI 06684",120.2.209.251,user login,click,54.44,83.61
2021-04-22,"9173 Melissa Vista
West Amanda, KY 90952",186.67.211.44,admin logon,refresh,91.66,96.85
2021-05-03,"80587 Cheryl Extension
East Jamesberg, ID 04023",183.236.140.147,product search,type,84.43,73.21
2021-07-02,"83270 Anthony Passage
Cameronton, MT 69061",193.237.174.25,search results,dorment,30.38,28.7
2021-06-17,"9769 Campbell Mews Apt. 121
East Samantha, MT 91795",221.252.105.17,hack attempt,SQL injection,18.63,9.91
2021-05-01,"6489 Cross Ville
South Dianaside, FL 57471",69.191.69.223,forum chat,refresh,81.09,75.18
2021-07-04,"0048 Mann Ports
Robertsview, GA 29094",222.36.221.133,unauthorised request,click,25.63,4.09
2021-05-19,"4639 Stanley Flats
Lake Stevenhaven, PA 45261",144.238.11.18,purchase,purchase failed,78.92,39.35
2021-04-17,"95590 Jeanette Fall Apt. 497
Joshuahaven, DC 42803",196.3.253.52,user logout,bounce,83.68,11.35
2021-06-22,"699 Butler Cove Suite 729
Williamsberg, SD 02068",20.171.154.245,search results,new search,77.17,24.69
2021-04-12,"615 Walker Mount Suite 888
Michaelton, RI 38920",196.53.36.145,hack attempt,DDoS attempt,28.06,2.47
2021-04-24,"USS Harmon
FPO AE 30976",73.154.241.217,user signup,signed up,63.35,94.68
2021-06-16,"Unit 1781 Box 4626
DPO AE 62553",131.173.244.12,user logout,logged out,55.17,57.58
2021-06-24,"13657 Bryan Spring Apt. 510
Lake Davidberg, KS 34433",73.53.148.4,purchase,bounce,64.63,25.76
2021-04-16,"344 Woodward Park Apt. 730
Yangton, UT 43076",187.17.67.76,hack attempt,SQL injection,82.68,60.34
2021-04-20,"USNV Phillips
FPO AP 15421",205.191.244.129,SSH,SSH request accepted,37.78,9.01
2021-05-23,"7100 Brown Harbors Suite 871
Walkerhaven, DE 60785",157.161.231.47,API call,404 request,98.12,36.14
2021-06-12,"37952 Thomas Key
New Jasonfort, UT 69553",102.127.139.219,recommendation,refresh,12.86,11.17
2021-04-06,"1368 Turner Fields
New Joseph, NC 89269",123.93.206.91,account,view settings,81.42,48.22
2021-05-22,"70087 Adkins Overpass Suite 083
South Kimberly, IN 62958",116.177.121.202,account,view settings,27.75,19.44
2021-05-09,"924 Dyer Trace
West Katherinefort, IN 23292",169.77.62.20,recommendation,dismiss,55.77,32.05
